"Offence","Canton","Level of completion","Level of detection","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Obtaining personal data without authorisation (Art. 179novies)","Glarus","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,0,0,0,0,0
"Obtaining personal data without authorisation (Art. 179novies)","Zug","Level of completion - total","Level of detection - total",0,2,1,0,0,0,1,2,0,0,3,0
"Obtaining personal data without authorisation (Art. 179novies)","Fribourg / Freiburg","Level of completion - total","Level of detection - total",0,1,2,1,6,2,3,1,0,6,1,6
"Obtaining personal data without authorisation (Art. 179novies)","Solothurn","Level of completion - total","Level of detection - total",0,1,1,2,2,2,2,3,3,2,1,2
"Obtaining personal data without authorisation (Art. 179novies)","Basel-Stadt","Level of completion - total","Level of detection - total",1,1,0,0,4,2,4,5,3,7,3,1
"Obtaining personal data without authorisation (Art. 179novies)","Basel-Landschaft","Level of completion - total","Level of detection - total",0,0,0,0,1,0,5,0,6,0,4,6
"Obtaining personal data without authorisation (Art. 179novies)","Schaffhausen","Level of completion - total","Level of detection - total",2,0,0,0,0,1,0,0,0,0,1,4
"Obtaining personal data without authorisation (Art. 179novies)","Appenzell Ausserrhoden","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,1,0,3,0,0
"Obtaining personal data without authorisation (Art. 179novies)","Appenzell Innerrhoden","Level of completion - total","Level of detection - total",0,0,0,0,0,1,0,0,0,0,0,0
"Obtaining personal data without authorisation (Art. 179novies)","St. Gallen","Level of completion - total","Level of detection - total",1,0,0,0,3,1,0,4,2,0,2,5
"Obtaining personal data without authorisation (Art. 179novies)","Graub�nden / Grigioni / Grischun","Level of completion - total","Level of detection - total",1,0,2,0,0,1,1,1,0,0,0,4
"Obtaining personal data without authorisation (Art. 179novies)","Aargau","Level of completion - total","Level of detection - total",0,0,0,0,1,4,1,2,0,1,3,2
"Obtaining personal data without authorisation (Art. 179novies)","Thurgau","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,3,0,1,1,1
"Obtaining personal data without authorisation (Art. 179novies)","Ticino","Level of completion - total","Level of detection - total",0,2,2,5,4,8,22,11,11,10,16,11
"Obtaining personal data without authorisation (Art. 179novies)","Vaud","Level of completion - total","Level of detection - total",2,3,8,9,9,4,9,2,5,17,11,12
"Obtaining personal data without authorisation (Art. 179novies)","Valais / Wallis","Level of completion - total","Level of detection - total",0,2,0,2,2,3,1,1,1,3,1,1
"Obtaining personal data without authorisation (Art. 179novies)","Neuch�tel","Level of completion - total","Level of detection - total",3,3,5,4,7,0,1,7,4,3,3,1
"Obtaining personal data without authorisation (Art. 179novies)","Gen�ve","Level of completion - total","Level of detection - total",0,1,4,3,0,7,7,2,7,2,7,3
"Obtaining personal data without authorisation (Art. 179novies)","Jura","Level of completion - total","Level of detection - total",2,0,1,0,3,0,1,0,0,2,0,1
